atom_i 	 Qi
                 1         0.00000000
                 2         0.00000000
                 3         0.00000000
                 4         0.00000000
                 5         0.00000000
                 6         0.00000000
                 7         0.00000000
                 8         0.00000000
                 9         0.00000000
                10        -0.03235386
                11         0.24986250
                12        -0.24986250
                13         0.24986250
                14         0.24986250
                15         0.24986250
                16         0.24986250
                17        -0.24986250
                18        -0.24986250
                19        -0.24986250
                20        -0.24986250
                21         0.00000000
                22         0.00000000
                23         0.00000000
                24         0.00000000
                25         0.00000000
                26         0.00000000
                27         0.00000000
                28         0.00000000
                29         0.00000000
                30         0.00000000
                31         0.00000000
                32         0.00000000
                33         0.00000000
                34         0.00000000
                35         0.03235386
